algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,t0,tf,alpha,gamma,epsilon,policy,tuning_stage,fallback
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1233,1233,189.022,7385480,3611304,3000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1219,1219,189.206,7386737,3613576,3000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1228,1228,189.891,6517267,3186816,3000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1213,1213,192.554,6518357,3187137,3000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1232,1232,193.980,6517596,3187558,3000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1213,1213,346.954,4697470,2280748,100,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1213,1213,333.211,4698877,2280925,100,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1212,1212,338.875,4702854,2284616,100,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1217,1217,344.087,3924260,1902216,100,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1213,1213,348.690,3921829,1901524,100,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1221,1221,349.423,3924029,1902940,100,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1213,1213,351.835,3366650,1630638,100,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1214,1214,335.890,3363698,1629485,100,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1218,1218,331.826,3366042,1629691,100,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1221,1221,356.734,8890263,4338084,300,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1227,1227,344.483,8889496,4338273,300,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1219,1219,351.012,8890545,4338378,300,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1215,1215,337.398,7526022,3671175,300,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1218,1218,351.124,7523744,3669466,300,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1218,1218,347.605,7519848,3665802,300,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1217,1221,352.261,6524181,3178844,300,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1212,1212,374.388,6521991,3179639,300,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1225,1225,376.524,6525342,3180423,300,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1214,1214,389.652,13383450,6541343,1000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1219,1219,373.812,13380290,6540552,1000,0.001,,,,,sa-grid,0
